movie_id,movie_name,year,genre,rating,description,votes,score
tt8367814,The Gentlemen,2019,"Action, Comedy, Crime",7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",348209.0,7.782060890318927
tt1646971,How to Train Your Dragon 2,2014,"Animation, Action, Adventure",7.8,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",341463.0,7.78170956577769
tt0472043,Apocalypto,2006,"Action, Adventure, Drama",7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",316817.0,7.78030003988977
tt0106977,The Fugitive,1993,"Action, Crime, Drama",7.8,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",299707.0,7.77918652182208
tt0379786,Serenity,2005,"Action, Adventure, Sci-Fi",7.8,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,298311.0,7.77909009019611
tt1630029,Avatar: The Way of Water,2022,"Action, Adventure, Fantasy",7.8,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",295119.0,7.778866202705037
tt1270798,X: First Class,2011,"Action, Sci-Fi",7.7,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",698601.0,7.691447199841883
tt2802144,Kingsman: The Secret Service,2014,"Action, Adventure, Comedy",7.7,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",675476.0,7.691155687109273
tt5463162,Deadpool 2,2018,"Action, Adventure, Comedy",7.7,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",591647.0,7.689908873944324
tt1408101,Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",7.7,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",486517.0,7.687741662811254
tt0372183,The Bourne Supremacy,2004,"Action, Mystery, Thriller",7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",468505.0,7.68727337806833
tt0139654,Training Day,2001,"Action, Crime, Drama",7.7,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,443143.0,7.686549899739544
tt0265086,Black Hawk Down,2001,"Action, Drama, History",7.7,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",401720.0,7.685173274660982
tt0328107,Man on Fire,2004,"Action, Crime, Drama",7.7,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",367938.0,7.68382296664767
tt1490017,The Lego Movie,2014,"Animation, Action, Adventure",7.7,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",361313.0,7.683528786250019
tt4912910,Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",7.7,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",338316.0,7.682418988035188
tt0381849,3:10 to Yuma,2007,"Action, Crime, Drama",7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,316785.0,7.681235254029519
tt0083944,First Blood,1982,"Action, Adventure, Thriller",7.7,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,257935.0,7.677003095796835
tt0144117,The Boondock Saints,1999,"Action, Thriller",7.7,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,241527.0,7.675459961865925
tt0130827,Run Lola Run,1998,"Action, Crime, Thriller",7.7,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",201046.0,7.670591353155329
tt0416449,300,2006,"Action, Drama",7.6,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,827767.0,7.593137723347655
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy",7.6,"Three years into the Clone Wars, Obi-Wan pursues a new threat, while Anakin is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",799964.0,7.592900112941115
tt3896198,Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",7.6,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",690770.0,7.591782641047264
tt0988045,Sherlock Holmes,2009,"Action, Adventure, Mystery",7.6,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,641133.0,7.591149406951663
tt1156398,Zombieland,2009,"Action, Comedy, Horror",7.6,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",585822.0,7.590318022105615
tt1250777,Kick-Ass,2010,"Action, Comedy, Crime",7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",569031.0,7.590033822547141
tt0181689,Minority Report,2002,"Action, Crime, Mystery",7.6,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",558753.0,7.589851477409664
tt0409459,Watchmen,2009,"Action, Drama, Mystery",7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",557372.0,7.589826466905965
tt0417741,Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",7.6,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",554044.0,7.589765685884144
tt3890160,Baby Driver,2017,"Action, Crime, Drama",7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",551316.0,7.5897153186522255
tt1318514,Rise of the Planet of the Apes,2011,"Action, Drama, Sci-Fi",7.6,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,534342.0,7.589390435854883
tt0119116,The Fifth Element,1997,"Action, Adventure, Sci-Fi",7.6,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",479782.0,7.588191423719499
tt0441773,Kung Fu Panda,2008,"Animation, Action, Adventure",7.6,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",479025.0,7.588172878729495
tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",7.6,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,446703.0,7.587322809224917
tt3397884,Sicario,2015,"Action, Crime, Drama",7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,437874.0,7.587068932399164
tt0112864,Die Hard with a Vengeance,1995,"Action, Adventure, Thriller",7.6,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",392697.0,7.585592572093419
tt3606756,Incredibles 2,2018,"Animation, Action, Adventure",7.6,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,302726.0,7.581352619887728
tt3076658,Creed,2015,"Action, Drama, Sport",7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",279281.0,7.579803834987127
tt0093870,RoboCop,1987,"Action, Crime, Sci-Fi",7.6,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",263559.0,7.57861262501289
tt0093409,Lethal Weapon,1987,"Action, Crime, Thriller",7.6,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,262930.0,7.578562037214749
tt1855199,End of Watch,2012,"Action, Adventure, Crime",7.6,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",253039.0,7.577733860976574
tt5700672,Train to Busan,2016,"Action, Horror, Thriller",7.6,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",227586.0,7.57527600346125
tt1899353,The Raid: Redemption,2011,"Action, Crime, Thriller",7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,207524.0,7.572919882521455
tt1211837,Doctor Strange,2016,"Action, Adventure, Fantasy",7.5,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",752009.0,7.49284610001061
tt1951264,The Hunger Games: Catching Fire,2013,"Action, Adventure, Sci-Fi",7.5,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,672299.0,7.492001674143471
tt0373889,Harry Potter and the Order of the Phoenix,2007,"Action, Adventure, Family",7.5,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",590824.0,7.490904266584574
tt0945513,Source Code,2011,"Action, Drama, Mystery",7.5,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,526230.0,7.489794100512655
tt2713180,Fury,2014,"Action, Drama, War",7.5,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",500926.0,7.489281621212736
tt0087469,Indiana Jones and the Temple of Doom,1984,"Action, Adventure",7.5,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace.",495242.0,7.489159344010148
tt0446029,Scott Pilgrim vs. the World,2010,"Action, Comedy, Fantasy",7.5,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",433481.0,7.487625406832819
tt0369339,Collateral,2004,"Action, Crime, Drama",7.5,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,410754.0,7.486945680589507
tt0096895,Batman,1989,"Action, Adventure",7.5,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",382221.0,7.485978750321227
tt0100802,Total Recall,1990,"Action, Adventure, Sci-Fi",7.5,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",336224.0,7.484077525112482
tt1091191,Lone Survivor,2013,"Action, Biography, Drama",7.5,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",292050.0,7.481693635342799
tt0215750,Enemy at the Gates,2001,"Action, Drama, War",7.5,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,266228.0,7.47993782872763
tt0408306,Munich,2005,"Action, Drama, History",7.5,"After the Black September capture and massacre of Israeli athletes at the 1972 Olympics, five men are chosen to eliminate the people responsible for that fateful day.",230069.0,7.47682528461281
tt0099810,The Hunt for Red October,1990,"Action, Adventure, Thriller",7.5,"In November 1984, the Soviet Union's best submarine captain violates orders and heads for the U.S. in a new undetectable sub. The American CIA and military must quickly determine: Is he trying to defect or to start a war?",204524.0,7.473972569720335
tt0145487,Spider-Man,2002,"Action, Adventure, Sci-Fi",7.4,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",826095.0,7.393846831997712
tt2250912,Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",7.4,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",666223.0,7.392376882880294
tt0451279,Wonder Woman,2017,"Action, Adventure, Fantasy",7.4,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",665310.0,7.392366468644843
tt0316654,Spider-Man 2,2004,"Action, Adventure, Sci-Fi",7.4,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,661539.0,7.392323151128702
tt2911666,John Wick,2014,"Action, Crime, Thriller",7.4,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.,644257.0,7.392118175473947
tt1276104,Looper,2012,"Action, Drama, Sci-Fi",7.4,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",582080.0,7.391280562227422
tt0290334,X2: X-Men United,2003,"Action, Sci-Fi, Thriller",7.4,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",555713.0,7.390869068901146
tt6320628,Spider-Man: Far from Home,2019,"Action, Adventure, Comedy",7.4,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",502168.0,7.389901235115986
tt1229238,Mission: Impossible - Ghost Protocol,2011,"Action, Adventure, Thriller",7.4,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",495999.0,7.389776385845026
